Тип жилья,Кол-во комнат,Станция метро,Время в пути,Этаж,Общая площадь комнат,Наличие ремонта,Год постройки,Срок сдачи,Тип дома,Цена
Вторичка,5-комн,Александровский сад,2 мин. пешком,2,242,Дизайнерский,1900,,Кирпичный,177 670 080 
Вторичка,4-комн,Арбатская,14 мин. пешком,3,"216,7",Евроремонт,1947,,Кирпичный,104 942 640 
Вторичка,3-комн,Смоленская,5 мин. пешком,8,"105,9",Евроремонт,2000,,Монолитный,53 000 000 
Вторичка,4-комн,Юго-Западная,6 мин. на транспорте,13,140,Без ремонта,2010,,Монолитный,30 500 000 
Вторичка,4-комн,Курская,5 мин. пешком,2,"82,4",,1938,,Кирпичный,25 500 000 
Вторичка,2-комн,Автозаводская,10 мин. пешком,6,"64,6",,1956,,,11 500 000 
Вторичка,4-комн,Севастопольская,10 мин. пешком,16,140,Дизайнерский,2004,,Монолитный,30 000 000 
Вторичка,3-комн,ВДНХ,5 мин. на транспорте,14,66,Косметический,1979,,Панельный,12 200 000 
Вторичка,2-комн,Академическая,10 мин. пешком,10,"52,3",Косметический,1960,,Кирпичный,15 000 000 
Вторичка,3-комн,Пушкинская,14 мин. пешком,2,110,Евроремонт,2003,,Кирпичный,57 900 000 
Вторичка,2-комн,Варшавская,12 мин. пешком,7,45,Косметический,1961,,Кирпичный,9 000 000 
Вторичка,3-комн,Нагатинская,14 мин. пешком,33,102,Дизайнерский,2012,,Монолитный,22 400 000 
Вторичка,4-комн,Академическая,7 мин. пешком,5,96,Без ремонта,,,,16 000 000 
Вторичка,3-комн,Лубянка,5 мин. пешком,4,"133,8",Евроремонт,1898,,Монолитный,168 152 040 
Вторичка,Многокомнатная квартира,Дубровка,12 мин. пешком,3,130,Без ремонта,1937,,Кирпичный,20 490 000 
Вторичка Апартаменты,2-комн,Лубянка,3 мин. пешком,2,87,,,,,94 000 000 
Вторичка,2-комн,Красные ворота,5 мин. пешком,2,77,Евроремонт,2001,,Кирпичный,42 000 000 
Вторичка,2-комн,Ленинский проспект,7 мин. пешком,3,44,,1962,,Кирпичный,8 600 000 
Вторичка,3-комн,Парк Победы,23 мин. пешком,4,105,Без ремонта,2011,,Монолитный,40 000 000 
Вторичка,4-комн,Боровицкая,4 мин. пешком,4,"99,5",Косметический,1886,,Кирпичный,35 000 000 
Вторичка,4-комн,Лубянка,5 мин. пешком,2,"126,6",Без ремонта,1898,,Монолитный,75 000 000 
Вторичка,3-комн,Бульвар Дмитрия Донского,5 мин. пешком,4,140,Евроремонт,1995,,Панельный,21 000 000 
Вторичка,4-комн,Парк Победы,23 мин. пешком,8,147,Без ремонта,2011,,Монолитный,52 000 000 
Вторичка,5-комн,Кропоткинская,4 мин. пешком,7,201,Дизайнерский,1914,,Кирпичный,79 317 000 
